
0.01	0.00496524	0.00970874	0.0079122	0.0045045	0.00633714	0.00493949	0.0111885	0.00904867	0.0144194	0.0197368
0.02	0.0053165	0.00430017	0.00444482	0.00407857	0.00465813	0.00476469	0.00464253	0.0056006	0.00491135	0.00585857
0.03	0.00282386	0.00273496	0.00297259	0.00265598	0.00283483	0.00272948	0.00309143	0.00294235	0.00239904	0.00256076
0.04	0.00237984	0.00164892	0.00267283	0.00225709	0.001861	0.00235605	0.0018616	0.00206472	0.00149355	0.00153429
0.05	0.0018996	0.00175688	0.00199667	0.0011656	0.00155198	0.00127671	0.00127396	0.00180701	0.00167136	0.00186396
0.06	0.00153444	0.00122535	0.00134725	0.00139796	0.00115014	0.00134213	0.00132659	0.00117778	0.00141298	0.00131549
0.07	0.00124887	0.000831593	0.00103918	0.00110489	0.00117858	0.00128965	0.000966389	0.000928846	0.000851459	0.000834384
0.08	0.000755566	0.000685252	0.000932091	0.000858384	0.000905023	0.000837198	0.00068298	0.000793088	0.000906268	0.000786019
0.09	0.000639158	0.000824633	0.000831848	0.000797472	0.000548498	0.000739557	0.000617738	0.000679549	0.000619981	0.00097597
0.1	0.000649015	0.000676294	0.000762756	0.000458481	0.000607694	0.000674826	0.000700215	0.000727908	0.000633755	0.00063508
0.11	0.000573936	0.000503175	0.000560592	0.000564666	0.00050169	0.000432142	0.000625519	0.000548082	0.000500781	0.000526959
0.12	0.000511164	0.000447018	0.000425681	0.000467234	0.00049301	0.000556307	0.000547903	0.000610148	0.000621484	0.000535671
0.13	0.000420698	0.00045115	0.000481102	0.000230852	0.000371661	0.000410254	0.000421949	0.000392575	0.000451535	0.000442571
0.14	0.000420137	0.000352338	0.000335177	0.000485265	0.000307747	0.000296524	0.000372391	0.000297025	0.000390063	0.000371064
0.15	0.000459563	0.000266685	0.000233621	0.000276386	0.000346299	0.00028508	0.000216828	0.000250473	0.000338339	0.00037327
0.16	0.000219557	0.000300417	0.000300754	0.000314961	0.000274754	0.000251195	0.000277232	0.000283169	0.000398079	0.000309194
0.17	0.000311066	0.000205383	0.000281386	0.000296425	0.000288414	0.000237125	0.000243767	0.000259633	0.000159075	0.000252089
0.18	0.000186546	0.000129928	0.000229409	0.000237424	0.000258559	0.000267152	0.00018729	0.000194236	0.000193985	0.000250695
0.19	0.000149952	0.000225202	0.000197747	0.000190969	0.000284291	0.000197022	0.000190392	0.000162643	0.00020404	0.000189944
